"id","question_name","category","status"
"","ఈ క్రింది వానిని పరిమాణంలో బతికిఉన్న 'ఏప్' లలో చిన్నవి","1","1"
"","జీరాఫీ అనేది ఒక బరువైన పోలికలు కలిగిన శరీర చర్మం, పొడవైన వెనుకటి కాళ్ళు, పొడవైన మెడ కలిగిన, ఏది జిరాఫీకి మరియు జీబ్రాలకు నాంది. ఉధ్బవించిన అరుదైన సంకరజీవి. ఈ జీవులు సాధారణంగా ఈ క్రింది ప్రాంతాలలో కనుగొన్నారు.","1","1"
"","ఫోరెన్సిక్ పరిశోధన ప్రక్రియలో నిర్జిత రక్తపు బొట్ల నుండి గాని స్లెయినింగ్ ఆధారంగా ఏర్పడిన స్పటికాల నిర్మాణాలను ఈ క్రింది విధంగా పేర్కొనవచ్చును","1","1"
"","విటమిన్ బి12 ఈ క్రింది పదార్థాలలో సమృద్ధిగా లభ్యమవుతుంది","1","1"
"","స్పైడర్ వలయాల'ను ఏర్పరచే సిల్కు పోగులను స్రవించే అవయవాలను ఈ క్రింది భాగంలో వుంటాయి","1","1"
"","కోయిలాడియో' జాతీయ పార్కు ఇచ్చట కలదు","1","1"
"","ల్లోమా' LLAMA అనే జంతువు, ఒంటె జంతువు నుండి ఈ క్రింది లక్షణాలలో విభేదించును
1. మెడపైన 'కొవ్వు' నిర్మాణాలు లేకపోవటం
2. మెడపై రెండు సంచులలో క్రొవ్వు నిర్మాణపు ఎత్తులు ఉండడం 
3. నూలు వంటి పోగులు, వెంట్రుకలు కలిగి ఉండటం
4. ఈ జంతువులు ఉత్తర అమెరికాలో ఎత్తైన ప్రదేశాలకు మాత్రమె పరిమితం","1","1"
"","ఒక కొమ్ము కలిగిన రైనోసార్ లు అత్యధికంగా వున్నా రెండు జాతీయ పార్కులను పేర్కొనండి?","1","1"
"","ఉడికించని ఆలుగడ్డ మానవులకు సరిగా జీర్ణంకాదు. దీనికి కారణం ప్రతి ఆలుగడ్డ నిర్మాణములో ఈ క్రింది నిర్మాణాలు త్వచ నిర్మాణాలుగా వుంటాయి","1","1"
"","ఖనిజ మూలక దాతువులో వచ్చే వృక్షపు వ్యాధిని ఈ క్రింది వానిలో గుర్తించండి?","1","1"
"","క్రింది క్షీరదములో వాని నడక ప్రక్రియలో ఒక వైపు వున్నా ముందటి మరియు వెనుకటి కాలి మడతలను ఒకేసారిగా కదిలించి గమనం చేయగలదా","1","1"
"","సముచిత జనాభా సమూహములో ఒక ప్రత్యేకమైన జీవజాతి ఒకవేళ గత 10సం.ల నుండి రమారమీ 80% సంఖ్యలో తరుగుదల కనిపిస్తుంటే, ప్రతి చదరపు కిలోమీటరు పరిధిలో 50 కంటే తక్కువ సంఖ్య గల వ్యక్తిగత జనాభా మిగిలిపోతుంటే ఈ క్రింది విధంగా వర్ణించవచ్చును","1","1"
"","మనకు ప్రాణాధారమైన ఆక్సిజన్ వాయువు కిరణజన్య సంయోగక్రియలో అంత్య పదార్థము ఈ క్రింది వాని నుండి ఆక్సిజన్ వాయువు ఉత్పన్నం గావించబడుతుంది.","1","1"
"","వాలాబైయాస్'(Wallabies) అనునవి","1","1"
"","ఈ క్రింది రక్తపు కణజాలం 2,8,4 లేక 8 కణాల గ్రూపులను కలిగి ఉంటాయి","1","1"
"","భారతదేశంలో ఈ క్రింది రాష్ట్రంమొదటిసారిగా టోటల్ ఫర్టిలిటీ  రేట్(TFR) సంపూర్ణ పునరుత్పత్తి రేటు/సంపూర్ణ ఫలదీకరణ రేటును కనిష్ట స్థాయిలో తీసుకురావటంలో సఫలీకృతం అయింది","1","1"
"","అంతర్జాతీయ మార్కెట్ లో వాణిజ్యపరంగా విజయం సాధించిన'బాసుమతిరైస్' నాణ్యతను, వాని డిమాండ్ ను అధిగమించగలిగే 'జోహా' అనే ప్రత్యేక అంశాలు గల రైస్, సాగుదల చేసే ప్రాంతములను గుర్తించండి","1","1"
"","ప్రపంచ స్థాయిలో అత్యదిక బరువు తూగిన 5పౌండ్ల మరియు 7 ఔన్స్ లు కలిగిన మామిడిని మార్చి 2006 ఈ క్రింది ప్రాంతంలో కనుగొన్నారు","1","1"
"","బేకరీలో 'అగర్' అనే సంశ్లేషిత పదార్ధం ముఖ్యంగా ఈ క్రింది వాని నుండి లభ్యమవుతుంది","1","1"
"","ఈ క్రింది మానవ వ్యాదులలో ఉత్పరివర్తనం జన్యువు కారణంగా సంక్రమించేది","1","1"
"","ప్రాణాంతక చికెన్ గున్యా వ్యాధికి కారణమైన వైరస్ కు ప్రాధమిక వాహకంగా ఈ క్రింది వానిలో ఏది?","1","1"
"","కోలాస్'అనునవి","1","1"
"","ఎల్లో ప్రోటీన్ లు అనగా","1","1"
"","ఈ క్రింది కణాలు కోణాల అమరికలు మరియు సెమినీఫెర్రస్ ట్యాబులస్ నిర్మాణాలను మధ్య ఉంటాయి
1. సెర్టోల్ కణాలు
2. సస్తాన్ట్ కణాలు
3. అంతర శీతల కణాలు
4. లైడింగ్ కణాలు","1","1"
"","క్రింద పేర్కొన్న ఏవి గోడోనోట్రోపిన్ లుగావు?
1. మెలనోఫో హార్మోన్
2. ఫోలిసిల్ స్టిములేటివ్ హార్మోన్
3. టెరాన్ స్టిములేటివ్ ప్రొపినెట్
4. ప్రొజెస్టిరాన్","1","1"
"","మనిషి వెంట్రుకల నిర్మాణంలో ఎదుగుదలకు మరియు సజీవముగా ఉండడానికి కారణమైన భాగాన్ని పేర్కొనండి","1","1"
"","రక్తం తయారీ అనునది పరిపూర్ణంగా ఎదిగిన మనిషిలో ఈ క్రింది భాగంలో తయారగును","1","1"
"","ఈ క్రింది వానిలో ఏది నైట్రోజన్ సంబంధించి విసర్జక పదార్ధం కానిదిగా వ్యవహరించుతారు?","1","1"
"","అంకురం లభ్యం కానప్పటి కాలంలో లేదా నిరంతరాయంగా ఆహారం తీసుకొనలేని పరిస్థితులలో గ్లూకోజ్ లేదా గ్లైకోజెన్ నిర్మాణానికి లేదా సశ్లేషణం చేయుటకు కార్బోహైడ్రేట్ కానట్టి నుండి సేకరించే విధంగా ఈ క్రింది విధంగా పేర్కొంటుంది","1","1"
"","ఈ క్రింది రక్త పిపాసి జీవుల రేటు వలన కేవలం ఒక్క రాత్రిలోనే రక్తమును కోల్పోయి ప్రాణాపాయస్థితికి తీసుకురాగలిగే ఈ క్రింది జీవులు సాధారణంగా సాదుజంతువులైన ఆవు, పందులు, కుక్కలా నుండి గ్రహించుతాయి","1","1"
"","క్రింద పేర్కొన్న వృక్ష భాగములలో టర్మరిక్ రంగును కలిగించేది గాను మరియు యాంటిసెప్టిక్ గా ఉపయోగపడుతుంది","1","1"
"","హంప్ బ్యాక్ అనేది ఒక విభేదన నిర్మాణము, ఈ నిర్మాణము లోతు అనేది ఈ క్రింది వాని బాహ్యతుల్య నిర్మాణములో విబేధాల్లో వక్రం పెరుగుదలనుచూపుతుంది","1","1"
"","సంపూర్ణ ఫలదీకరణ రేటు సంపూర్ణ పునరుత్పత్తి రేటు అనగా","1","1"
"","అలల వంటి(పెరిస్టాలిక్) చలనములు ప్రదర్శించే లక్షణములను కలిగినవి","1","1"
"","సకశేరుకాల కండర సంకోచమును ఈ మధ్యస్థ వారిదిగా తోడ్పడే పాస్పెజన్ ను ఈ క్రింది జీవమరుక్షాలు ద్వారా గ్రహించుకొనును","1","1"
"","ఈ క్రింది మొసళ్ళ జాతులలో వాని మందపు కొలతలకు కనీసం మూడు రెట్లు పొడవును చంపుతుంది","1","1"
"","ఈ క్రింది జీవులలో మొండానికి త్వచసంబంధమైన రెక్క లేదా పెటాబీయిం నిర్మాణమును ఆధారంగా చేసుకొని 5-7 జాతుల లక్షణాలను చూపుతుంది","1","1"
"","ఆవుపాలు, వాని రంగు లేత పసుపు పచ్చ రంగులో ఉండటానికి కారణం","1","1"
"","ఆవుదూడలలో అవి త్రాగే అధిక మోతాదులో పాలను జీర్ణం చేయుటకు తోడ్పడేవి ఈ క్రింది వానిలో గుర్తించుము","1","1"
"","ప్యూబిక్ సింపాయిసిస్ అనేది ఒక ఉదాహరణముగా పేర్కొనవచ్చును","1","1"
"","రహేజ్ అనేది ఆవశ్యక ప్రాధాన్యత కలిగిన తిండి పదార్ధములలో ఒక భాగము, కాని ఇది జీర్ణము కాని పదార్థములు కలిగి ఉంటుంది ఇవి రాసాయినికాలుగా","1","1"
"","చెద పురుగులలో చెక్కల నిర్మాణములో సెల్యులోజ్ జీర్ణక్రియలో తోడ్పడే జీవులు ","1","1"
"","ప్రపంచపర్యావరణదినం' ప్రతి సంవత్సరము ఏ రోజు జరుపుకుంటాము","1","1"
"","భారతదేశంలో కొన్ని రాష్ట్రాలు 'కేసరిపప్పు' వినియోగించటాన్ని పూర్తిగా నిషేధించాయి. దీనికి కారణము ప్రధానంగా క్రమక్రమంగా ఈ క్రింది లక్షణాలను కోల్పోవటం వలన","1","1"
"","ఈ క్రింది వానిలో వేనిని సూక్ష్మ మూలకములుగా వర్ణించవచ్చు?","1","1"
"","ఈ క్రింద తెలిపిన తరంగదైర్ఘ్యం కలిగిన కిరణాలు కిరణజన్య సంయోగ క్రియలోనూ ప్రభావితం చేస్తాయి","1","1"
"","క్లోరోఫిల్' వర్ణ ద్రావితపు రసం సాధారణ కాంతిలో ఎరుపు రంగుగా అగుపించుటకు కారణం","1","1"
"","వృక్షాలలో కర్బనములకు సంబంధించిన కర్బన సందర్భ పదార్థాలు ఈ క్రింది వాని నుండి గ్రహించుతాయి","1","1"
"","అత్యాధునిక కార్పోరేట్ కంపెనీలలో పనిచేసే కార్పొరేట్ ఎగ్జిక్యూటివ్ లు వారు తమ ప్రయాణాలలో కూడా సూర్య రశ్మి నుండి కాపాడుకుంటూ ఎయిర్ కన్దీశాన్ లో కార్లలో మరియు గ్లాసుతో కప్పబడిన గదులలో రోజంతా గడుపుతున్నట్లైతే వారికి ఈ క్రింది జీవ పదార్థాల లోపం వలన రుగ్మతలకు లోనయ్యే అవకాశం కలదు.","1","1"
"","కిరణజన్య సంయోగ ప్రక్రియలో ఒక దృగిత ఆవిష్కరణకు గానూ నోబెల్ బహుమతిని అందుకున్న వారు ఎవరు?","1","1"
"","ఆకుపచ్చని మొక్కలు సాధారంగా పగటి పూటలో ఆక్సీజన్ వాయువును కార్బన్-డై-ఆక్సైడ్ వాయువు కంటే ఎక్కువగా విడుదల చేస్తుంది. దీనిని ఈ క్రింది విధంగా వివరించవచ్చును ","1","1"
"","నీటి మొక్కలు లేని ఆక్వేరియంలో చేపలు పెంచుతున్నట్లైతే అవి తరచుగా నీటి ఉపరితలం పైకి ఏటవాలుగా రావటాన్ని గమనించినట్లైతే ఈ పరిస్థితికి కారణం ఈ అంశములు అయ్యి ఉండవచ్చు","1","1"
"","ఈ రకమైన జీవులు తమ జీవ క్రియలలో ఒక ప్రత్యేక పద్ధతి ద్వారా తమ జీవ కణాలలోనికి ప్రత్యక్షంగా ఆక్సీజన్ తీసుకొనగలుగుతాయి","1","1"
"","జీర్ణవ్యవస్థ నాళాలు మరియు శ్వాసక్రియ వ్యవస్థ నాళాలను ఈ క్రింది భాగము ద్వారా ప్రయాణం చేస్తూ వుండును/కలుపుతూవుంటాయి?","1","1"
"","గాలిలో ఆక్సీజన్ సరాసరి శాతం ","1","1"
"","ఊపిరితిత్తులకు ఎలాంటి హాని జరగకుండా కేవలం (తోరాసిక్ త్వచం) అదఃకుహర త్వచమునకు ఏదైనా త్వచం పగిలిపోతే ఈ క్రింది పర్యావసనాలు జరుగుతాయి","1","1"
"","కండరాల అలసట' రావటానికి ఈ క్రింది జీవ పదార్ధం అధికమవుతుండడం","1","1"
"","గోధుమ పిండిగాని, బియ్యపు పిండిని గాని కొద్ది మొత్తంలో నీటిని కలిపి వాటిని పేస్ట్ లాగా తయారీచేసి వంట గదిలో రాత్రి మొత్తంగా ఉంచినట్లయితే వాని పరిమాణంలో, సైజులో పెరుగుతుంది. దీని ప్రాముఖ్యతను ఈ క్రింది విధంగా వివరించవచ్చు","1","1"
"","రాత్రి వేళలో వృక్షాల క్రింద నిదురించరాదని సలహా ఇస్తారు ఎందుకనగా","1","1"
"","కార్దియాక్ అరెస్ట్ హృదయ స్పందన ఆగిపోవటంలో ఈ క్రింది ప్రక్రియను ప్రాథమిక చికిత్సగా గుర్తించవచ్చు?","1","1"
"","ఈ క్రింది తెల్ల రక్తకణాలు, ఏవి వ్యాధి నిరోధకతను కలుగ జేసే కారకాలను తయారుచేయుటకు సహాయపడుతుంది?","1","1"
"","మానవుని ఎర్ర రక్తకణాల జీవిత కాలం","1","1"
"","పరిపూర్ణ యుక్త వయస్సులలో హృదయ స్పందన రేటు ప్రతి సెకనుకు సుమారుగా ఈ క్రింది విధంగా వుంటుంది","1","1"
"","గాయం ద్వారా, రక్తపు గడ్డల ద్వారా హానికరమైన బ్యాక్టీరియాలు ప్రవేశం నివారించేది ఈ క్రింది వానిలో ఏది?","1","1"
"","ఆక్సిజన్ సహితరక్తం ఊపిరితిత్తులకు అందజేసే ఈ క్రింది రక్తనాళాలు అందజేస్తాయి?","1","1"
"","అత్యధిక ఎత్తు ప్రదేశాల్లో నివసించే మానవుని బుగ్గలు ఎరుపు రంగు కలిగి ఉండటానికి కారణం","1","1"
"","వృక్షాలలో వేరు వ్యవస్థ యొక్క మూలకేశాలకు ప్రాథమికంగా చేయు అనర్థాలు ఏవి?","1","1"
"","వృక్షాలలో నీరు మరియు ఖనిజలవణాలు ఒక భాగం నుండి మరొక భాగమునకు రూపాంతరం చెందుతుంది","1","1"
"","వృక్షాలలో సేంద్రీయ పదార్థాల రవాణా ఈ భాగాలకు కణజాలం చేస్తుంది?","1","1"
"","ఆకృత బీజాలలో నీరు మరియు ఖనిజలవణాలు రవాణా నాళాల ద్వారా జరుగుతుంది. ఈ వృక్ష నాళం యొక్క గరిష్ట పొడవు ఎంత?","1","1"
"","ఒక పరిపూర్ణ మానవుడు 24 గంటలలో యూరిన్ పరిమాణం ఇంతవరకు ఉండవచ్చు","1","1"
"","కృత్రిమ మూత్రపిండం ఈ క్రింది సూత్రం ద్వారా పనిచేయగలదు","1","1"
"","తక్కువ స్థాయిలో విషతుల్యమైన నైట్రోజన్ సంబంధిత వ్యర్థపదార్దాలను గుర్తించడం","1","1"
"","నేల బల్లులు మరియు పక్షుల విసర్జక పదార్థాలలో తెలుపు వర్ణంతో రసాయనికంగా","1","1"
"","ఆకలి, దప్పిక, శరీర ఉష్ణోగ్రతలు మరియు నీటి సమతుల్యతను క్రమబద్దీకరణం చేసే శరీర భాగమును గుర్తించేది","1","1"
"","హృదయ స్పందన ధారణ మరియు రేటు, ఆహార వాహిక వ్యవస్థలోని గ్రంథుల స్రవైంచటం, అనియంత్రిత కండర వ్యవస్థ సంకోచం- వాటి క్షమత వాటి జీవక్రియలు మెదడులోని ఈ క్రింది భాగాలను సమన్వయ పరిచేది","1","1"
"","సెరిబెల్లమ్' అనునది","1","1"
"","ఒక వ్యక్తి యొక్క నీలి రంగు కళ్ళు, బ్రౌన్ కళ్ళు లేక నల్ల కళ్ళు  అనేవి ప్రత్యేక వర్ణకము పదార్థముల ద్వారా కలుగజేయును అవి ఎందులో కనిపిస్తాయి?","1","1"
"","క్లోరోక్విన్' లాంటి మందు బిళ్ళలను మ్రింగటం ద్వారా చేదు రుచి సాధారణంగా కలుగుతుంది. దానికి కారణం","1","1"
"","వినికిడి మరియు సమతుల్యతను కేంద్రీకరణం చేసేవి వరుసగా అవి ","1","1"
"","మానవుని కంటిలో దుమ్ము, ధూళి పడినట్లయితే కళ్ళు ఎరుపుకు మరియు మంటలు చూపే కంటి నిర్మాణం","1","1"
"","పాల పొదుగు నుండి చూశానం ద్వారా పాలను స్రవించటం ఈ క్రింది వాని ప్రభావం వలన జరుగుతుంది","1","1"
"","పిండ దశలో లింగనిర్దారణ ప్రక్రియ నిర్ణయించుతుంది","1","1"
"","ఆహార పోషణలో అయోడిన్ సమతుల్యత లోపించి ఈ ప్రభావం కనిపించుతుంది?","1","1"
"","దేహంలో 'ధర్మోస్రాట్' గా ఉపయోగపడే గ్రంథి పేరు","1","1"
"","వ్యాధి గ్రస్తుల, అధిక మొత్తంలో సోడియంను యూరిన్ లో కోల్పోతున్నట్లైత'","1","1"
"","క్రోమ గ్రంథి లోని 'ఐస్ లెట్స్ మరియు లాంగర్ హన్స్' కానికలు పూర్తిగా నశించిపోయిన, ఈ క్రింది జీవక్రియలలో తేడా వస్తుంది","1","1"
"","ఎసిటైల్-కో-ఎంజైమ్' అనేది ఒక మాధ్యమిక జీవ పదార్థంగా ఈ దేహ జీవన ప్రక్రియలలో ఈ విధంగా ఉత్పన్నం అవుతుంది
1.వాయి శ్వాసక్రియ పదార్థంలో గ్లూకోజ్ విచ్చితి
2. అవాయు శ్వాసక్రియ విధానంలో గ్లూకోజ్ విచ్చితి
3.క్రొవ్వు ఆమ్లాల β- ఆక్సిడేషన్ 
4. ఆంటికీటోజెనిక్ అమైనో ఆమ్లాల విచ్చితి","1","1"
"","అండోత్పత్తి స్థానం నుండి అండాలు గర్భాశయంలోకి ప్రయాణించుటకు ఈ భాగము సహాయపడుతుంది","1","1"
"","ఫలదీకరణం' అనేది సాధారణంగా ఈ క్రింది భాగంలో జరుగుతుంది","1","1"
"","ప్రైమెట్ స్త్రీ జీవులలో కాలవ్యవధిలో గర్భాశయపు మాల్యాకాన్ పొరలు నశించిపోవటం, తదుపరి (బ్లీడింగ్) రక్తప్రసరణ అనేది జరిగే విధానాలు","1","1"
"","అండోత్పత్తి అనేది ఈ క్రింది విధంగా జరుగుతుంది","1","1"
"","ఒక స్త్రీ గర్భం దాల్చే ముఖ్య సమయం","1","1"
"","అండోత్పత్తి ఎప్పుడు జరుగుతుంది","1","1"
"","పురుషులలో 'ముష్కాలు' ముష్కగోణులలో అమరి ఉండుటకు కారణం","1","1"
"","మానవునిలో సాధారణ పిండోత్పత్తి జరిగే కాల వ్యవధి","1","1"
"","మొనోజైగోటిక్ కవలలు అనగా","1","1"
"","జన్మతః లోపభూయిష్టమైన లక్షణాలను కలిగించే కారకాలు","1","1"
"","ఫలదీకరణం తరువాత, పునఃస్థాపానం సాధారణంగా ఈ క్రింది విధంగా జరుగుతుంది","1","1"
"","ఒక శిశువు పుట్టిన సమయం వెంటనే అతని రక్తం","1","1"
"","ప్రేటర్నల్ కవలలు' కలగటానికి ఈ క్రింది అవకాశములు కలవు","1","1"
"","సంతానం కలగకుండా పురుషులకు చేసే ఆపరేషన్","1","1"
"","ఎద్దు వీర్యం కృత్రిమంగా ఇందులో నిల్వ చేస్తారు","1","1"
"","జీవించి ఉన్న ప్రతి జీవరాశిలో లైంగిక పునరుత్పత్తి ద్వారా జననం కలిగితే పుట్టుక సాధించే క్రమంలో ఏక కణంతోనే ప్రాథమికంగా అభివృద్ధి చెంది సంపూర్ణ జీవిగా రూపొందుతుంది. ఈ ప్రాథమిక కణాన్ని ఈ విధంగా పిలుస్తారు","1","1"
"","స్పోర్ అనేది","1","1"
"","కొన్ని వృక్ష జాతులు తమ జీవితకాలంలో ఒకే ఒకసారిగా పుష్పిస్తాయి. అవి ఏ జాతికి చెందినవి?","1","1"
"","ఈ క్రింది మొక్కల పుష్పాలలో అతిపెద్ద పుష్పమును గుర్తించండి?","1","1"
"","కీటకాల ద్వారా పరపరాగ సంపర్కం జరుగు పద్దతిని ఈ క్రింది విధముగా పిలుస్తారు","1","1"
"","పురుష సంయోగబీజం, స్త్రీ సంయోగ బీజంతో కలయికను ఈ క్రింది విధంగా వర్ణించవచ్చు?","1","1"
"","ఒక నిజమైన ఫలం ఈ క్రింది భాగముల నుండి ఏర్పడుతుంది","1","1"
"","ఈ క్రింది పేర్కొన్న గడ్డి మొక్కల జాతులు అతిచిన్న విత్తనాలను కలిగి ఉంటాయి","1","1"
"","ఈ క్రింద పేర్కొన్న ఫలములలో ఒక నిజఫలం","1","1"
"","ఫలదీకరణం లేకుండానే ఫలం అభివృద్ధి చెందుటను ఏమి అందురు?","1","1"
"","ఒక వృక్షజాతిలో స్త్రీ పుష్పాలు, పురుష పుష్పాలు వేరువేరు మొక్కల మీద పుట్టితే, ఆ మొక్కలను ఈ క్రింది విధంగా పేర్కొనవచ్చు","1","1"
"","ఒక రకమైన ఎండుఫలం  'chilgoza' అనేది ఈ రకమైన మొక్కల నుండి ఉత్పన్నం అవుతుంది","1","1"
"","ఈ క్రింద పేర్కొన్న ఫలాలలో నిజమైన ఫలం కానిది?","1","1"
"","మొక్కల పరాగరేణువులు క్రింద పేర్కొన్న వేటి నుండి అభివృద్ధి చెందుతాయి?","1","1"
"","జూమ్ (jhum) అనేది","1","1"
"","ఒక వృక్షజాతి యొక్క వయస్సును ఈ క్రింది విధంగా నిర్ధారణ చేయవచ్చును","1","1"
"","వృక్షకాండం ద్వితీయ వృద్ధి ఈ క్రింది విధంగా వివరించవచ్చు","1","1"
"","హైడ్రోఫోనిక్స్ అనేది ఈ క్రింది విధంగా వర్ణించవచ్చు ","1","1"
"","ఈ క్రింది వృక్ష హార్మోనులు కాయలను పండ్లుగా మార్చుకొనుటకు ఉపయోగించుతారు","1","1"
"","విత్తన స్థుప్తాన వ్యవస్థను (seed dormacy) తొలగించటానికి ఈ క్రింది రసాయనాలతో విత్తనములను శుద్ధి చేస్తారు?","1","1"
"","నేషనల్ బ్యూరో ఆఫ్ ప్లాంట్ జెనెటిక్ రిసోర్సెస్' అనే సంస్థ ఈ క్రింది నగరములలో వుంది?","1","1"
"","ఈ క్రింద శాస్త్రవేత్తలలో ' ద ఫాదర్ ఆఫ్ మోడర్న్ జెనెటిక్స్' అని ఇతనిని అంటారు","1","1"
"","జన్యువు' అనునది అనువంశపార్యపర్యం - క్రమతను మానవునిలో మరియు ఇతర సూక్షజీవులలో గుర్తించవచ్చు","1","1"
"","జీవులు, ఒక ప్రత్యేక లక్షణాలను ఆధారం చేసుకొని వాటి బాహ్యస్వరూపాలను పోల్చుతూ వుంటే వాటిని ఈ క్రింది విధంగా వర్ణించవచ్చు","1","1"
"","ఒక శిశువు యొక్క లింగ నిర్ధారణను తెలియజేయునది","1","1"
"","ఒక జీవి నిజ సంకరణములో ఒక ప్రత్యేక లక్షణంశాన్ని ఉత్పత్తి చేయు సమరూప కవలలను ఈ క్రింది విధంగా పేర్కొంటారు","1","1"
